company_name,ticker_bb,gics_sector,gics_industry_group,gics_industry,gics_sub_industry,market_cap_mln_gbp,financial_year,executive_name,position,salary_amount,salary_currency,annual_bonus_amount,ltip_amount,pension_amount,benefits_amount,other_compensation_amount,total_compensation_amount,total_compensation_currency,is_pro_rata,pro_rata_notes,file_name,ar_link,source_link,source_attribution_tier,source_chunk_id
4Imprint Group Plc,FOUR LN Equity,Communication Services,Media & Entertainment,Media,Advertising,1014.1,2024,Kevin Lyons-Tarr,Chief Executive Officer,569631.0,USD,169579.0,0.0,13800.0,18298.0,0.0,771308.0,USD,False,,4imprint_group_ar_2024,https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf,"=HYPERLINK(""https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf#page=100"",""p.100 of AR"")",2.0,
4Imprint Group Plc,FOUR LN Equity,Communication Services,Media & Entertainment,Media,Advertising,1014.1,2024,David Seekings,Chief Financial Officer,379754.0,USD,113052.0,0.0,13686.0,23794.0,0.0,530286.0,USD,False,,4imprint_group_ar_2024,https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf,"=HYPERLINK(""https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf#page=100"",""p.100 of AR"")",2.0,
4Imprint Group Plc,FOUR LN Equity,Communication Services,Media & Entertainment,Media,Advertising,1014.1,2023,Kevin Lyons-Tarr,Chief Executive Officer,546063.0,USD,540920.0,0.0,13200.0,18268.0,0.0,1118451.0,USD,False,,4imprint_group_ar_2024,https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf,"=HYPERLINK(""https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf#page=100"",""p.100 of AR"")",2.0,
4Imprint Group Plc,FOUR LN Equity,Communication Services,Media & Entertainment,Media,Advertising,1014.1,2023,David Seekings,Chief Financial Officer,364042.0,USD,360613.0,0.0,13296.0,22132.0,0.0,760083.0,USD,False,,4imprint_group_ar_2024,https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf,"=HYPERLINK(""https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf#page=100"",""p.100 of AR"")",2.0,
4Imprint Group Plc,FOUR LN Equity,Communication Services,Media & Entertainment,Media,Advertising,1014.1,2025,Kevin Lyons-Tarr,Chief Executive Officer,571784.0,USD,169579.0,0.0,14000.0,19682.0,,775045.0,USD,False,Served full year,4imprint_group_ar_2025,https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf,"=HYPERLINK(""https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf#page=50"",""p.50 of AR"")",2.0,
4Imprint Group Plc,FOUR LN Equity,Communication Services,Media & Entertainment,Media,Advertising,1014.1,2025,Michelle Brukwicki,Chief Financial Officer,307308.0,USD,94000.0,0.0,7492.0,16658.0,,425458.0,USD,True,"Appointed as Chief Financial Officer and Executive Director on 1 May 2025. Figures reflect remuneration from 1 May 2025 only. Annual base salary was $470,000.",4imprint_group_ar_2025,https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf,"=HYPERLINK(""https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf#page=50"",""p.50 of AR"")",2.0,
4Imprint Group Plc,FOUR LN Equity,Communication Services,Media & Entertainment,Media,Advertising,1014.1,2025,David Seekings,Chief Financial Officer (outgoing),134793.0,USD,37684.0,0.0,5392.0,8393.0,,186262.0,USD,True,"Stepped down as Chief Financial Officer and from the Board on 1 May 2025. Figures in the single figure table cover the period as a Director only (to 1 May 2025). Additionally, as a past Director, he received salary of $57,976, benefits of $4,196, pension of $2,319, and DBP share award vesting gain of $366,296 for the period from 1 May 2025 to his retirement from the Company on 30 June 2025. A further bonus of $18,842 was also paid for the post-Director period to 30 June 2025.",4imprint_group_ar_2025,https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf,"=HYPERLINK(""https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf#page=50"",""p.50 of AR"")",2.0,
4Imprint Group Plc,FOUR LN Equity,Communication Services,Media & Entertainment,Media,Advertising,1014.1,2024,Kevin Lyons-Tarr,Chief Executive Officer,569631.0,USD,169579.0,0.0,13800.0,18298.0,,771308.0,USD,False,Served full year,4imprint_group_ar_2025,https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf,"=HYPERLINK(""https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf#page=50"",""p.50 of AR"")",2.0,
4Imprint Group Plc,FOUR LN Equity,Communication Services,Media & Entertainment,Media,Advertising,1014.1,2024,Michelle Brukwicki,Chief Financial Officer (not yet appointed as Executive Director),0.0,USD,0.0,0.0,0.0,0.0,0.0,0.0,USD,False,Appointed to the Board on 1 May 2025; no remuneration disclosed in the single figure table for 2024.,4imprint_group_ar_2025,https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf,"=HYPERLINK(""https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf#page=53"",""p.53 of AR"")",2.0,
4Imprint Group Plc,FOUR LN Equity,Communication Services,Media & Entertainment,Media,Advertising,1014.1,2024,David Seekings,Chief Financial Officer,379754.0,USD,113052.0,0.0,13686.0,23794.0,,530286.0,USD,False,Served full year in 2024,4imprint_group_ar_2025,https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf,"=HYPERLINK(""https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf#page=50"",""p.50 of AR"")",2.0,
