company_name,ticker_bb,gics_sector,gics_industry_group,gics_industry,gics_sub_industry,market_cap_mln_gbp,plan_name,financial_year,plan_status,metric_name,weight_percentage,threshold_value,threshold_payout_percentage,target_value,target_payout_percentage,stretch_value,stretch_payout_percentage,maximum_value,maximum_payout_percentage,actual_performance,actual_payout_percentage,total_bonus_payout,assessment_summary,additional_conditions,file_name,ar_link,source_link,source_attribution_tier,source_chunk_id
4Imprint Group Plc,FOUR LN Equity,Communication Services,Media & Entertainment,Media,Advertising,1014.1,Annual Bonus Plan / Deferred Bonus Plan (DBP),2024,completed,Revenue Growth (North American business),,"$1,365m (5% growth vs 2023)",,"$1,400m (8% growth vs 2023)",,,,"$1,456m (12% growth vs 2023)",,"$1,342.7m (3% growth vs 2023 - below threshold)",0.0,30.0,,Must achieve minimum revenue threshold for any bonus payout. Primary driver/heavily weighted metric.,4imprint_group_ar_2024,https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf,"=HYPERLINK(""https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf#page=94"",""p.94 of AR"")",2.0,
4Imprint Group Plc,FOUR LN Equity,Communication Services,Media & Entertainment,Media,Advertising,1014.1,Annual Bonus Plan / Deferred Bonus Plan (DBP),2024,completed,Operating Profit (North American business),,$142m,,$145m,,,,$148m,,$153.6m (exceeded highest target on performance grid),,30.0,,Secondary measure ensuring appropriate financial return. Contingent on revenue performance - both measures must be achieved. Would have supported maximum payout if revenue threshold met.,4imprint_group_ar_2024,https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf,"=HYPERLINK(""https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf#page=90"",""p.90 of AR"")",2.0,
4Imprint Group Plc,FOUR LN Equity,Communication Services,Media & Entertainment,Media,Advertising,1014.1,Annual Bonus Plan / Deferred Bonus Plan (DBP),2025,prospective,Revenue Growth (North American business),,,,,,,,,,,,,,Primary driver/heavily weighted (unchanged from 2024). Grid format with revenue growth percentage targets. Targets not disclosed for commercial sensitivity but set with reference to 2025 budget.,4imprint_group_ar_2024,https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf,"=HYPERLINK(""https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf#page=107"",""p.107 of AR"")",2.0,
4Imprint Group Plc,FOUR LN Equity,Communication Services,Media & Entertainment,Media,Advertising,1014.1,Annual Bonus Plan / Deferred Bonus Plan (DBP),2025,prospective,Operating Profit (North American business),,,,,,,,,,,,,,"Secondary measure (unchanged from 2024). Operating profit performance targets. Targets not disclosed for commercial sensitivity but set with reference to 2025 budget. Maximum Opportunity: 150% of base salary (increased from 100% in 2024). On-Target Performance: 75% of base salary (increased from 50% in 2024). Deferral Structure: 50% cash, 50% deferred into shares for five years.",4imprint_group_ar_2024,https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf,"=HYPERLINK(""https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf#page=90"",""p.90 of AR"")",2.0,
4Imprint Group Plc,FOUR LN Equity,Communication Services,Media & Entertainment,Media,Advertising,1014.1,Deferred Bonus Plan (DBP) / Annual Bonus Plan 2025,FY2025,completed,North American Revenue,0.0,"$1,355m (1% growth vs 2024 / +$15m)",30.0,"$1,400m (4% growth vs 2024 / +$60m)",75.0,,,"$1,465m (9% growth vs 2024 / +$125m)",150.0,"$1,322m (98% of threshold; below threshold)",0.0,30.0,"North American Revenue of $1,322m narrowly missed the threshold of $1,355m (98% of threshold). Below threshold — $0 formulaic payout. Both metrics narrowly missed their respective thresholds. Committee exercised discretion to award 30% of base salary (20% of maximum opportunity of 150%), equal to the minimum/threshold level that would have been paid had both thresholds been met. Rationale included: volatile macroeconomic conditions (evolving tariff policy, general market uncertainty) unforeseen at target-setting; proximity of actual results to threshold; stretch embedded in budget targets; and experience of key stakeholders including employees and shareholders.","Interdependent with Operating Profit (no standalone weighting; combined grid structure). If revenue growth was below 1%, no bonus was payable regardless of operating profit performance. The grid produced bonus outcomes ranging from 30% of base salary (threshold: revenue $1,355m + operating profit $154m minimum) to 150% of base salary (maximum: revenue $1,465m + operating profit $160m minimum). On-target performance (revenue $1,400m + operating profit $157m minimum) would have yielded 75% of base salary.",4imprint_group_ar_2025,https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf,"=HYPERLINK(""https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf#page=50"",""p.50 of AR"")",2.0,
4Imprint Group Plc,FOUR LN Equity,Communication Services,Media & Entertainment,Media,Advertising,1014.1,Deferred Bonus Plan (DBP) / Annual Bonus Plan 2025,FY2025,completed,North American Operating Profit,0.0,$154m minimum (lowest tier in grid),30.0,"$157m minimum (mid tier in grid, corresponding to on-target bonus of 75% of base salary at 4% revenue growth)",75.0,,,$160m minimum (highest tier in grid),150.0,$152m (99% of threshold; below all operating profit tiers),0.0,30.0,"North American Operating Profit of $152m narrowly missed the threshold of $154m (99% of threshold; below all operating profit tiers). Below threshold — $0 formulaic payout. Both metrics narrowly missed their respective thresholds. Committee exercised discretion to award 30% of base salary (20% of maximum opportunity of 150%), equal to the minimum/threshold level that would have been paid had both thresholds been met. Rationale included: volatile macroeconomic conditions (evolving tariff policy, general market uncertainty) unforeseen at target-setting; proximity of actual results to threshold; stretch embedded in budget targets; and experience of key stakeholders including employees and shareholders. Bonus delivered 50% in cash and 50% deferred into conditional share awards with a five-year vesting period.","Interdependent with Revenue (no standalone weighting; combined grid structure). If operating profit was below $154m, no bonus was payable regardless of revenue performance. The 2025 plan used an interdependent performance grid combining Revenue and Operating Profit — the two metrics cannot be separated with individual weightings as bonus outcomes under each measure are contingent on the performance of the other.",4imprint_group_ar_2025,https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf,"=HYPERLINK(""https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf#page=50"",""p.50 of AR"")",2.0,
4Imprint Group Plc,FOUR LN Equity,Communication Services,Media & Entertainment,Media,Advertising,1014.1,Deferred Bonus Plan (DBP) / Annual Bonus Plan 2026,FY2026,prospective,Revenue (Group consolidated),50.0,Not disclosed (commercially sensitive; to be disclosed retrospectively in next year's report),0.0,Not disclosed (commercially sensitive),75.0,,,Not disclosed (commercially sensitive),150.0,,,,,"Metrics now assessed on consolidated Group results (vs North American business only in prior years), to better align with analyst and investor measures. Specific targets withheld for commercial sensitivity reasons. Revenue and operating profit are now assessed independently with a 50/50 weighting, replacing the prior interdependent performance grid construct. This creates a more market-typical structure. Maximum bonus opportunity: 150% of base salary. On-target bonus: 75% of base salary. One-third of annual bonus deferred into shares with a three-year deferral period (aligned to Remuneration Policy, as Kevin Lyons-Tarr now participates in the LTIP for 2026). Committee confirmed targets are appropriately stretching as at January 2026.",4imprint_group_ar_2025,https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf,"=HYPERLINK(""https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf#page=47"",""p.47 of AR"")",2.0,
4Imprint Group Plc,FOUR LN Equity,Communication Services,Media & Entertainment,Media,Advertising,1014.1,Deferred Bonus Plan (DBP) / Annual Bonus Plan 2026,FY2026,prospective,Operating Profit (Group consolidated),50.0,Not disclosed (commercially sensitive; to be disclosed retrospectively in next year's report),0.0,Not disclosed (commercially sensitive),75.0,,,Not disclosed (commercially sensitive),150.0,,,,,"Consolidated Group basis; specific targets withheld for commercial sensitivity. Revenue and operating profit are now assessed independently with a 50/50 weighting, replacing the prior interdependent performance grid construct. This creates a more market-typical structure. Maximum bonus opportunity: 150% of base salary. On-target bonus: 75% of base salary. One-third of annual bonus deferred into shares with a three-year deferral period (aligned to Remuneration Policy, as Kevin Lyons-Tarr now participates in the LTIP for 2026). Committee confirmed targets are appropriately stretching as at January 2026.",4imprint_group_ar_2025,https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf,"=HYPERLINK(""https://investors.4imprint.com/media/4pxdv4c3/4imprint_ar25_web.pdf#page=45"",""p.45 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,Annual Bonus Plan,2024,completed,Investment performance,15.0,50% AUM above benchmark average of 1-year and 3-year for all asset classes,0.0,,,70% AUM above benchmark average of 1-year and 3-year for all asset classes,15.0,,,62% AUM above benchmark average of 1-year and 3-year for all asset classes,10.5,77.48,,,aberdeen_group_ar_2024,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=126"",""p.126 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,Annual Bonus Plan,2024,completed,ii net flows,5.0,£2.9bn,0.0,,,£5.1bn,5.0,,,£5.7bn,5.0,77.48,,,aberdeen_group_ar_2024,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=130"",""p.130 of AR"")",2.0,
